operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,accion_tomada,fecha_accion,resultado_7d,resultado_30d,caida_real_30d,comentario_operativo
OP_0DF523E128,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.673588,P1,24,17782.73,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_FC97E54B70,2026-07-05,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,0.663772,P1,24,62557.15,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_36D3972FAB,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.6484,P1,24,20327.34,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_E8DDFEA8D8,2026-07-05,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,0.647325,P1,24,83516.62,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_5AEB7D7EDD,2026-07-05,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,0.634461,P1,24,60432.4,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_117AFDD23F,2026-07-05,Tizón y Bueno,ASESOR_7B5A7F5FB0,sin_clasificar,0.633747,P1,24,80980.05,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_DDB7EC200E,2026-07-05,Tizón y Bueno,ASESOR_C6B4E60323,sin_clasificar,0.632871,P1,24,50980.16,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_B68FE0C2B9,2026-07-05,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,0.632729,P1,24,63968.9,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_1507DC4B18,2026-07-05,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,0.632289,P1,24,111842.97,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_0D8471BF1F,2026-07-05,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,0.631147,P1,24,20051.54,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_CBB58858C0,2026-07-05,Sialia,ASESOR_9FCF63DC91,sin_clasificar,0.630866,P1,24,57311.32,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_F0479D1991,2026-07-05,Modena,ASESOR_E5897908D5,sin_clasificar,0.629682,P1,24,24085.34,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_3BFCF51AF3,2026-07-05,Sialia,ASESOR_1265C8A465,sin_clasificar,0.628892,P1,24,74721.85,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_23E0210ACE,2026-07-05,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,0.627211,P1,24,16525.92,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_FFB5E8B1BF,2026-07-05,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,0.626983,P1,24,93577.18,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_2D6D8726D2,2026-07-05,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,0.625434,P1,24,18763.03,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_85D626EEE5,2026-07-05,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,0.625434,P1,24,18293.96,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
OP_ECE239F814,2026-07-05,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,0.624462,P1,24,47998.04,Contactar en 24h y confirmar siguiente hito de cierre.,pendiente,,pendiente,pendiente,,
