operation_id,fecha_score,proyecto,asesor_id,canal,riesgo_caida,prioridad,sla_horas,valor_esperado_en_riesgo,accion_recomendada,ranking_prioridad,data_mode
OP_16B861AB28,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6485.38,Seguimiento regular.,739,real_source:ranking_operaciones_riesgo_caida.parquet
OP_EFF9BA4A95,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6476.1,Seguimiento regular.,740,real_source:ranking_operaciones_riesgo_caida.parquet
OP_F9DAFC2231,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6446.74,Seguimiento regular.,741,real_source:ranking_operaciones_riesgo_caida.parquet
OP_2828E9E584,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6428.19,Seguimiento regular.,742,real_source:ranking_operaciones_riesgo_caida.parquet
OP_6208795035,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6415.92,Seguimiento regular.,743,real_source:ranking_operaciones_riesgo_caida.parquet
OP_849678F4EF,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6400.22,Seguimiento regular.,744,real_source:ranking_operaciones_riesgo_caida.parquet
OP_A783415C78,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6388.0,Seguimiento regular.,745,real_source:ranking_operaciones_riesgo_caida.parquet
OP_E350656C21,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6388.0,Seguimiento regular.,746,real_source:ranking_operaciones_riesgo_caida.parquet
OP_222C5AC2CC,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6342.87,Seguimiento regular.,747,real_source:ranking_operaciones_riesgo_caida.parquet
OP_175AB293F8,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6337.0,Seguimiento regular.,748,real_source:ranking_operaciones_riesgo_caida.parquet
OP_357AD42368,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6335.45,Seguimiento regular.,749,real_source:ranking_operaciones_riesgo_caida.parquet
OP_0B2C95978B,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6290.32,Seguimiento regular.,750,real_source:ranking_operaciones_riesgo_caida.parquet
OP_09F9C81EAC,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6290.32,Seguimiento regular.,751,real_source:ranking_operaciones_riesgo_caida.parquet
OP_4CEF564BAD,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6261.26,Seguimiento regular.,752,real_source:ranking_operaciones_riesgo_caida.parquet
OP_10A5958583,2026-07-05,Edificio Saenz,ASESOR_D49965A644,sin_clasificar,0.103041,P3,168,6188.31,Seguimiento regular.,753,real_source:ranking_operaciones_riesgo_caida.parquet
