operation_id,ranking_capacity,proyecto,asesor_id,canal,riesgo_caida,valor_esperado_en_riesgo,dias_en_tuberia,prioridad,sla_horas,accion_recomendada,data_mode
OP_6FC8F95B,547,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2547,20436.35,1704,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_FADB19BF,548,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.25,20423.27,2024,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_6E2D4D3A,549,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2578,20396.25,1868,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_06881487,550,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.25,20374.52,2446,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F89F8D0E,551,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20371.59,2488,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_1F09802C,552,Fenix,ASESOR_C931A67B,sin_clasificar,0.3843,20336.67,572,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_CC6BB91D,553,Torre Nápoles,ASESOR_1959B8DB,sin_clasificar,0.6484,20327.34,184,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_D40FBD13,554,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2655,20302.3,906,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_833CD8C0,555,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2421,20297.15,2505,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_91A73FD8,556,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2463,20251.99,1506,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_9D6AA3D8,557,Matera,ASESOR_C931A67B,sin_clasificar,0.3508,20192.86,5,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5FBC314F,558,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2437,20189.58,1371,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_DD8E8C8C,559,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2463,20189.19,1632,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_0D6F9709,560,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2463,20189.19,994,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_6BCAEA98,561,Torre Nápoles,ASESOR_2660085B,sin_clasificar,0.3604,20162.7,312,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_04EDD1D7,562,Edificio Santa Cruz Infinite,ASESOR_10B2BE3F,sin_clasificar,0.2437,20068.95,1602,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_4EEF24C6,563,Torre Nápoles,ASESOR_1959B8DB,sin_clasificar,0.6311,20051.54,245,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_FA4DDF29,564,Fenix,ASESOR_C931A67B,sin_clasificar,0.3864,20000.9,586,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_621CB5D0,565,Torre Nápoles,ASESOR_2660085B,sin_clasificar,0.5888,19872.82,124,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_236B565A,566,Torre Nápoles,ASESOR_26DEBB0E,sin_clasificar,0.576,19872.29,103,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_C57727D6,567,Torre Nápoles,ASESOR_1F3B24E1,sin_clasificar,0.5997,19783.43,89,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_97A6D21D,568,Matera,ASESOR_B56EAA59,sin_clasificar,0.4241,19721.17,10,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F8818B67,569,Edificio Santa Cruz Infinite,ASESOR_7178B923,sin_clasificar,0.2989,19705.18,2309,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_C7CE483F,570,Sialia,ASESOR_C931A67B,sin_clasificar,0.4013,19683.16,466,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_085B2A38,571,Torre Nápoles,ASESOR_26DEBB0E,sin_clasificar,0.574,19669.36,292,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F292C8C5,572,Matera,ASESOR_1F3B24E1,sin_clasificar,0.3715,19606.46,228,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5E74CB2A,573,Edificio Mariategui,ASESOR_C931A67B,sin_clasificar,0.4451,19554.39,980,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_5B4AFB8D,574,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2226,19529.85,1828,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_8E28C5EB,575,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2226,19494.79,1989,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_FB84A973,576,Los Jardines de Urteaga,ASESOR_10B2BE3F,sin_clasificar,0.1604,19328.07,3025,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_F3457DAB,577,Sialia,ASESOR_C931A67B,sin_clasificar,0.4019,19291.06,411,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_1086D355,578,Capadocia,ASESOR_C931A67B,sin_clasificar,0.3629,19249.26,222,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_B2CC86AE,579,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2216,19135.92,2572,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_59B524F8,580,Edificio Cuba Connect,ASESOR_10B2BE3F,sin_clasificar,0.2216,19135.92,2035,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
OP_DE0023E3,581,Torre Nápoles,ASESOR_59C3D8E4,sin_clasificar,0.564,19119.37,58,P3_backlog,168,Backlog: no intervenir salvo nueva señal o capacidad disponible.,crm_aggregated_safe
