experiment_id,operation_id,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,experiment_arm,eligible,accion_tomada,resultado_7d,resultado_30d,outcome_class_7d,outcome_class_30d,is_positive_30d,is_negative_30d,is_pending_30d,treatment_contacted
riesgo_caida_action_impact_v1,OP_CBB58858C0,Sialia,ASESOR_9FCF63DC91,sin_clasificar,P1,0.630866,high,57311.32,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_F0479D1991,Modena,ASESOR_E5897908D5,sin_clasificar,P1,0.629682,high,24085.34,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_3BFCF51AF3,Sialia,ASESOR_1265C8A465,sin_clasificar,P1,0.628892,high,74721.85,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_23E0210ACE,Torre Nápoles,ASESOR_C6B4E60323,sin_clasificar,P1,0.627211,high,16525.92,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FFB5E8B1BF,Tradiciones Prime,ASESOR_9FCF63DC91,sin_clasificar,P1,0.626983,high,93577.18,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_2D6D8726D2,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,P1,0.625434,high,18763.03,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_85D626EEE5,Torre Nápoles,ASESOR_950BED165C,sin_clasificar,P1,0.625434,high,18293.96,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_ECE239F814,Tizón y Bueno,ASESOR_950BED165C,sin_clasificar,P1,0.624462,high,47998.04,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_17A2083F16,Edificio Mariategui,ASESOR_9FCF63DC91,sin_clasificar,P1,0.62442,high,53594.52,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_AF5BD5B2DB,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.624305,high,67068.74,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_4A9C11399A,Sialia,ASESOR_233077BA7F,sin_clasificar,P1,0.622671,high,22042.54,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_4B5069507B,Fenix,ASESOR_E05C20E0FE,sin_clasificar,P1,0.621939,high,70630.45,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_55C17E6036,Tizón y Bueno,ASESOR_9FCF63DC91,sin_clasificar,P1,0.618214,high,56972.73,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_BBB80946E0,Edificio Mariategui,ASESOR_950BED165C,sin_clasificar,P1,0.617538,high,52737.83,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_8A5B405982,Sialia,ASESOR_950BED165C,sin_clasificar,P1,0.617486,high,54435.52,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_A5B24DFB71,Capadocia,ASESOR_E5897908D5,sin_clasificar,P1,0.616564,high,69363.5,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_09354A32FF,Alicanto,ASESOR_950BED165C,sin_clasificar,P1,0.615247,high,56970.86,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_B9CA6C83C4,Tradiciones Prime,ASESOR_950BED165C,sin_clasificar,P1,0.615231,high,75845.0,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_9ECA90CCDD,Sialia,ASESOR_9FCF63DC91,sin_clasificar,P1,0.615124,high,22720.21,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_679136536C,Tizón y Bueno,ASESOR_233077BA7F,sin_clasificar,P1,0.614582,high,55128.03,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FB49869900,Edificio Mariategui,ASESOR_1265C8A465,sin_clasificar,P1,0.613096,high,59155.19,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_FE6B6F5197,Tizón y Bueno,ASESOR_E5897908D5,sin_clasificar,P1,0.609551,high,54139.93,control,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
riesgo_caida_action_impact_v1,OP_87FFD2B963,Capadocia,ASESOR_E5897908D5,sin_clasificar,P1,0.609292,high,78141.68,treatment,True,pendiente,pendiente,pendiente,pending,pending,0,0,1,0
