experiment_id,operation_id,assigned_at,proyecto,asesor_id,canal,prioridad,riesgo_caida,risk_band,valor_esperado_en_riesgo,accion_recomendada,eligible,experiment_arm,assignment_score,holdout_reason,data_mode
riesgo_caida_action_impact_v1,OP_1EB8C654B0,2026-07-05T01:23:32.267615+00:00,Capadocia,ASESOR_C6B4E60323,sin_clasificar,P1,0.580165,high,57488.5,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.580792,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_C0FDDD0D09,2026-07-05T01:23:32.267615+00:00,Fenix,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.579692,high,54341.07,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.30605,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_1B6E4BF153,2026-07-05T01:23:32.267615+00:00,Fenix,ASESOR_950BED165C,sin_clasificar,P1,0.579213,high,46047.44,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.065072,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_564BEC7E7D,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_DA48A4F817,sin_clasificar,P1,0.579039,high,22164.89,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.310173,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_F7CFE0334C,2026-07-05T01:23:32.267615+00:00,Modena,ASESOR_233077BA7F,sin_clasificar,P1,0.57712,high,55516.02,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.514344,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_0CFE894900,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_233077BA7F,sin_clasificar,P1,0.576425,high,24953.72,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.130242,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_92E3DE0EB6,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.576008,high,19872.29,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.150291,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_CBE53D06E6,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_E5897908D5,sin_clasificar,P1,0.575545,high,43942.87,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.36478,,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_7470459E1D,2026-07-05T01:23:32.267615+00:00,Alicanto,ASESOR_950BED165C,sin_clasificar,P1,0.574343,high,21489.9,Contactar en 24h y confirmar siguiente hito de cierre.,True,control,0.716433,holdout_control_para_medir_impacto,real_source:ranking_operaciones_riesgo_caida.parquet
riesgo_caida_action_impact_v1,OP_2E2096824F,2026-07-05T01:23:32.267615+00:00,Torre Nápoles,ASESOR_7B5A7F5FB0,sin_clasificar,P1,0.57403,high,19669.36,Contactar en 24h y confirmar siguiente hito de cierre.,True,treatment,0.16611,,real_source:ranking_operaciones_riesgo_caida.parquet
